,T,f_0,f_1,f_2,f_3,f_4,f_5,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,psi_0,psi_1,psi_2,psi_3,psi_4,psi_5
10,2.1014279180319484,1300845755.9602182,2215644502.7166867,1357973797.4482653,1349588995.7973766,1434878625.762749,1320632542.180566,True,True,True,True,True,False,0.9922477988625716,0.9992737013872729,0.9943435815313423,0.9818393810471087,0.9908383985582794,0.9958977151015986,9,10,8,7,10,9
11,5.229176142988569,1451214074.4243927,2407627635.3336287,1582874855.8821924,1634760626.8368175,1474192924.5833666,1681048857.9886904,True,False,True,True,True,True,0.9834713191232118,0.9909649245203913,0.9894212402157477,0.9890905422567495,0.9957664801048516,0.9998774396812958,17,38,13,9,9,34
12,8.552020046400594,1567684834.8926294,2768704091.2227216,1406884033.94367,1565848168.4895856,1364052551.501552,2000562458.7479296,True,True,False,True,True,True,0.9894867849423558,0.9997798206538971,0.9998837144207595,0.9851365444006632,0.9949291461550892,0.9911892767480002,8,22,12,32,8,36
13,2.2660533396933307,1898361335.4885917,1456893993.4275663,1360366721.1084676,1503113548.014484,1313608026.8855968,1349357471.2269604,True,True,True,False,True,True,0.9984425208876078,0.9931794017097318,0.9886700838439938,0.9938865908176756,0.9885874465068085,0.9947668295369549,14,10,7,8,10,8
14,2.841216911724114,2007366626.699412,1410977957.2764385,1331171345.0434813,1365209540.9385407,1310271014.6606872,1507196557.5131793,True,True,True,True,True,False,0.9940107957065887,0.9994180019889312,0.9853496858969597,0.9827954780615122,0.9808230896179259,0.9638462477156069,9,11,8,9,7,15
15,3.2244789293622085,1393831321.737101,1499049202.9208262,1378824442.4659507,1886726254.3438287,1333940695.3581104,1577983600.6280146,False,True,True,True,True,True,0.9948806862384135,0.9907904990236881,0.9918758294118402,0.9956848333430078,0.999890253958043,0.9983020538354918,10,13,7,9,10,15
16,24.34677756510389,1601788440.1975613,1504645129.2603242,1321220935.205997,1461938091.6476061,2284051045.3432393,1972005312.0754235,True,False,True,True,True,True,0.9909907023057926,0.9848562225456599,0.996280140071833,0.9942707420652025,0.9949658475461516,0.9971479188420972,22,80,42,17,110,38
17,2.572362673082734,1380681026.665945,1816663393.368698,1331204065.5653079,1316868875.13872,1347391567.0709596,2094574408.9107454,True,True,True,False,True,True,0.9909853223102814,0.9951901675277252,0.9911697227789036,0.8788802208846673,0.9876251763112418,0.9975265052294179,9,8,7,8,7,22
18,3.919713501982876,1334683657.8926907,2089092757.1867115,1425814760.4853601,1307205527.5006752,1309058830.5333056,1750674715.6528864,True,True,True,True,True,False,0.9933405878590732,0.9857942924102856,0.9903951632260714,0.9949003541029,0.9938210004503772,0.9929839547442398,14,14,7,11,10,22
19,3.1904656008556245,1410609606.929712,1458234475.0649805,1362573597.852149,1468525955.3054976,1462841688.423318,1352780775.291653,True,True,True,True,True,False,0.9990540313785046,0.9949660495796268,0.9902849599101551,0.9995991129902222,0.9928442087360652,0.9957870287312448,13,10,9,12,10,12
20,2.706912181405752,2113317748.3915825,1392015804.7554393,1346620714.9924643,1897455792.0674827,1344479120.4174366,1715383230.8732936,True,True,True,False,True,True,0.9997506125911987,0.9890585662093704,0.983981821680388,0.992531651415289,0.9950965276869553,0.9944328908234543,18,9,6,12,8,10
21,39.90911781946248,2261262433.292761,2438360040.4753838,1363940636.6628404,1328284718.38619,1800776875.4716537,1723153987.7641013,False,True,True,True,True,True,0.9972061608650176,0.981902691934813,0.9921702152106517,0.991097051296628,0.986836229429111,0.9983916640531519,211,181,19,14,28,207
22,2.6033710484390316,1697407044.2907543,1354895898.405965,1413870269.4453943,1458400637.7214315,1384105291.8400567,1684411410.3100197,True,True,True,True,True,False,0.9960401091932363,0.9802014738223401,0.9915239405693983,0.983253359161064,0.9871557451003647,0.9991464170659082,8,8,7,10,9,18
23,2.747801295711901,2272270114.054675,1331090951.3200982,1342929016.418693,1341662455.331883,2279311643.037382,1324415393.3142233,True,False,True,True,True,True,0.999598197291154,0.9817692095697331,0.9960701003844484,0.9887527790453261,0.9809391427671705,0.9963293563389841,19,7,10,7,8,13
