,T,f_0,theta_0,f_1,theta_1,f_2,theta_2,f_3,theta_3,f_4,theta_4,f_5,theta_5,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,psi_0,psi_1,psi_2,psi_3,psi_4,psi_5,exec_time
10,22.197048006066233,2046882793.0282097,0.9800171216716592,1477395862.5657582,0.994878924447298,1327023837.1533735,0.9431643666892275,1424247687.7242644,0.9655440757315847,1794610781.8667064,0.9652676575019703,1662990927.7239935,0.9818857308911514,False,True,True,True,True,True,15,9,5,5,5,6,6.9531261920928955
11,4.2743118704483765,1316023735.2308962,0.9778188072811532,2511292074.6907787,0.9968685888182108,1354555731.9698143,0.9808994761255908,1341361874.425355,0.9686192561747363,1533608264.2799196,0.9839359487735857,1520149014.4823492,0.9821673069306601,True,False,True,True,True,True,7,11,6,6,7,8,6.971459865570068
12,10.486115079598362,1302824763.320369,0.9770759009239809,1302431980.4371932,0.9951608970398899,1309735086.929246,0.9908035047559469,1521867514.9677293,0.9669579740844416,1441857032.629096,0.9890546086799424,1402273000.1344166,0.9994361875912634,True,True,False,True,True,False,6,9,11,6,7,10,6.962360858917236
13,9.476675746056351,1314505000.16756,0.9888489124500242,1323967211.7080374,0.9916918936335576,2697914855.6066236,0.9810162657593525,1378617313.8784993,0.9813649857825238,1362968592.8624797,0.9982639492925751,1335627778.1157973,0.9759649089195552,True,True,False,True,True,True,8,7,7,6,10,7,6.955179929733276
14,8.180037834511934,1322000497.4634256,0.9852670854662626,1329044087.5185895,0.9839863869106847,1310283448.2653909,0.9882675910375556,1535553897.0704029,0.9898692131960115,1596256751.3115478,0.996929321222657,1419869781.9460263,0.9727077219591587,True,True,True,False,True,True,7,6,7,10,9,8,6.943384647369385
15,29.138533383371325,1318740642.2829266,0.989697478210405,1709267434.226515,0.9838138834059618,2134435198.3987274,0.975239013961804,1308499440.944499,0.9925205813698176,1313969614.9381375,0.9926971914750883,1342603375.3084624,0.9623045499859901,True,True,False,True,True,False,8,7,142,10,8,25,6.997023820877075
16,8.666834838117403,1307828610.913246,0.9963333625773874,1300158828.7171016,0.9827587709500406,1316545279.2002554,0.9858052208936855,1640922752.2144787,0.9915302990507338,1387385519.6589692,0.8582562686223809,1418870818.936597,0.9730157081600167,True,True,True,False,False,True,10,6,7,13,9,7,6.923408508300781
17,10.8204757801048,2208550916.9413323,0.9711400493179178,1432639179.9573379,0.9798070770299301,1588137497.423252,0.9886763766849209,1391226655.7329812,0.9932134772589425,1344976949.99377,0.9864914705679543,1398716339.9777482,0.9787109200685639,False,True,True,True,True,True,63,13,8,8,8,8,6.956868648529053
18,9.789037316464281,1490028503.508786,0.9903383809377155,1660910807.9253125,0.9940024129158322,1531543875.3386598,0.9810646292061701,1530116540.6154103,0.9972902063708119,1367240053.2105412,0.980602497473033,1338049019.064201,0.971717244336349,True,False,True,False,True,True,7,49,6,18,6,6,6.981536626815796
19,8.922464583484894,2161441937.2411027,0.9865791309618847,1301622174.6686,0.981290350447949,1337278009.2779224,0.9830440263140815,1427534915.3044496,0.9919025503349673,1313279803.258215,0.9960218046791083,1520419873.5243726,0.9970198533844676,False,True,True,True,True,True,21,7,6,8,8,12,6.983160495758057
20,62.53469577146598,1318711632.328358,0.9913181777492392,1326454358.238382,0.9746027231648894,1787652713.9635308,0.9823580803192034,1364183665.4258902,0.9993757253043254,1815618220.8773177,0.9975815779382733,1672749177.6137834,0.9985265282377294,True,True,True,True,False,False,7,6,7,14,13,405,6.924274206161499
21,62.42582138219498,1316552110.3450685,0.9827097487540116,1323744712.8069258,0.9746155142511642,1337870714.6935093,0.9801222110388313,1477348361.471588,0.9979054873375506,1404834033.1407635,0.9985718475637582,1362349655.7795746,0.9877326658721228,True,False,True,True,True,False,7,119,6,9,12,10,6.947558641433716
22,12.72634645668397,1418189221.6247551,0.977536730394775,1302142553.3718147,0.9728427122774799,1321927416.8216078,0.9777200691886894,1907780333.315512,0.9984781871901945,1379730884.7080674,0.9967795033876855,1813051334.165538,0.9953319445330729,True,True,True,True,True,False,7,6,6,10,13,34,6.964604377746582
