,,Média,Desvio Padrão,Mínimo,Máximo
Rodada_0,Hypervolume,0.6069365834478174,0.021286053727098162,0.5918850705126851,0.6219880963829497
Rodada_0,IGD,0.026312442686929567,0.036806761924770295,0.000286131736405668,0.05233875363745347
Rodada_1,Hypervolume,0.7865167905468036,0.013697325531552828,0.7768313187793229,0.7962022623142841
Rodada_1,IGD,0.028026662934282808,0.006565759569114713,0.02338396981932133,0.032669356049244286
