Rodada,Metrica,Média,Desvio Padrão,Mínimo,Máximo
Rodada_0,Hypervolume,0.5639438819870056,0.05918561359693797,0.39832548969025117,0.672714181347408
Rodada_0,IGD,0.1111297030104065,0.03330933160434649,0.031261965895421934,0.19134759011560945
Rodada_1,Hypervolume,0.7646001437749288,0.05193174713447259,0.6470340089155744,0.8605020146957408
Rodada_1,IGD,0.061554723769419416,0.012049687969704874,0.035477100436533356,0.08834786820536274
Rodada_2,Hypervolume,0.7891052588976543,0.051626400371793,0.6582204101183091,0.8705045900161115
Rodada_2,IGD,0.06052678144766888,0.016081306480752407,0.04026763606998542,0.10388781108108017
Rodada_3,Hypervolume,0.8221764007697577,0.04967891196307948,0.7326011688824184,0.9165222433567164
Rodada_3,IGD,0.044666354036643305,0.012216703115239737,0.025160668409904885,0.0661375731696614
Rodada_4,Hypervolume,0.7668081312643978,0.0470890669410048,0.6289895150980229,0.8568619765558918
Rodada_4,IGD,0.06122562951264924,0.016276329199825586,0.027294906213687697,0.10964444921515377
Rodada_5,Hypervolume,0.8286872995829107,0.07295414817812876,0.512090196266761,0.9107041090419077
Rodada_5,IGD,0.06939943688568077,0.04760794152547135,0.025529651044196595,0.3315992343333105
Rodada_6,Hypervolume,0.7967877707832283,0.0439742001081536,0.7109266160924331,0.8826261870046312
Rodada_6,IGD,0.04138099517373004,0.010248727292785132,0.026975569216565506,0.07302383141901826
Rodada_7,Hypervolume,0.5877163884717367,0.05772264356261357,0.4361097655655084,0.6961322004976263
Rodada_7,IGD,0.05778449488097701,0.02549020822340227,0.024986136295477482,0.14041286468748154
Rodada_8,Hypervolume,0.6639083669547368,0.053524889131373474,0.5087954379713622,0.7913578928667542
Rodada_8,IGD,0.05720184868116347,0.02299482613177237,0.02675004490315856,0.1550440615150831
Rodada_9,Hypervolume,0.820474777907444,0.0594506186555272,0.6566732782219589,0.9066027733569999
Rodada_9,IGD,0.05767810230879345,0.020046960865785095,0.0321523813051797,0.1254034691248749
Rodada_10,Hypervolume,0.7615540036472175,0.053761835306596444,0.634181567852767,0.8527851082293029
Rodada_10,IGD,0.05347261440216654,0.021271739067033186,0.021425537048043675,0.12738383276027404
Rodada_11,Hypervolume,0.6201286699542966,0.1367683554480474,0.0,0.7862654032762049
Rodada_11,IGD,0.1174136951919341,0.17206449311833896,0.03885484523722053,1.111880424919454
Rodada_12,Hypervolume,0.7586287956899923,0.053410207480807985,0.6591160994287393,0.8437637814284005
Rodada_12,IGD,0.067321843790534,0.019308767554059234,0.036075009743321354,0.12395536970929288
Rodada_13,Hypervolume,0.6508663625634925,0.052553788424963346,0.4991600157793196,0.7371304995119122
Rodada_13,IGD,0.06017618375864197,0.013354934182240562,0.041204814531023835,0.11394697968968233
Rodada_14,Hypervolume,0.6738053960777353,0.06474618603517465,0.4853720527362368,0.7927593205684925
Rodada_14,IGD,0.08071964909997023,0.02112948957900262,0.04656560701458886,0.16188050255447825
Rodada_15,Hypervolume,0.8224039897499478,0.047081367172513065,0.7157299598140997,0.8884739804681583
Rodada_15,IGD,0.05192123609578116,0.012053664835234755,0.030566551230897927,0.07823419285460394
Rodada_16,Hypervolume,0.7285582552293927,0.0526929422128233,0.6179500915813693,0.8144538576780512
Rodada_16,IGD,0.05600756703961825,0.015320019636577963,0.026826335635021317,0.10367269993928893
Rodada_17,Hypervolume,0.6933423240419265,0.05929537368209968,0.5606762609903018,0.8277696356438144
Rodada_17,IGD,0.06845419238431823,0.022593958246385937,0.03518917257397857,0.1436577126550684
Rodada_18,Hypervolume,0.7460240747250512,0.07262344712794497,0.5444007134797126,0.8608360792854837
Rodada_18,IGD,0.060968877504473974,0.03268964542910505,0.02114910094482161,0.19625827746181285
Rodada_19,Hypervolume,0.8058214752526952,0.05757525393580398,0.6480148780530902,0.8883035233916562
Rodada_19,IGD,0.0485444527195388,0.018039429273701613,0.023528254947114573,0.12206622147595243
Rodada_20,Hypervolume,0.7436074754143368,0.06518188066748963,0.6092147191336563,0.8556667211151989
Rodada_20,IGD,0.07685552752485196,0.02471872333708314,0.04375160226939047,0.1545923359627747
Rodada_21,Hypervolume,0.6974393074883274,0.08320909503637448,0.4082307260267787,0.8039710219187505
Rodada_21,IGD,0.0879937674442518,0.046805204976327834,0.04785426890078083,0.2994316996337861
Rodada_22,Hypervolume,0.7096844815262824,0.07297328256917052,0.4909253673281082,0.8368158797796525
Rodada_22,IGD,0.08147204184425659,0.034893107361204594,0.04006691865057032,0.2081502322231332
Rodada_23,Hypervolume,0.7538184825032548,0.08954533838633137,0.4907654923496308,0.878422068373037
Rodada_23,IGD,0.09148256533999183,0.04982382964521701,0.03668801757870363,0.29713899555062545
Rodada_24,Hypervolume,0.7813222122946246,0.060710587231334,0.5495063404849068,0.8868263358131538
Rodada_24,IGD,0.05641860366264437,0.017276322279764538,0.0291714801627156,0.1398389325525685
